faculty_id,name,title,email,mob_no
F01,Robert Holland,Associate Prof.,acostarebecca@delacruz.com,9874698778
F02,Martin Boyd,Asst. Professor,robinacosta@gmail.com,9875489973
F03,Eric Hernandez,Professor,tberry@floyd.com,9877877753
F04,Nathan Jones,Professor,nicholas75@yahoo.com,9879678912
F05,Jessica Jenkins,Asst. Professor,kevin75@kelley-taylor.com,9873605303
F06,Jacob Robinson,Asst. Professor,tracey89@yahoo.com,9870608929
F07,Heather Smith,Associate Prof.,harveyalexis@hotmail.com,9879890685
F08,Suzanne Cruz,Professor,dorseyjose@garcia-wood.info,9874542589
F09,Erin Hancock,Asst. Professor,adamschristopher@decker.com,9870034220
F10,Matthew Johnson,Associate Prof.,scottchristine@hotmail.com,9875243330
F11,Joshua Rodriguez,Asst. Professor,lcurtis@hotmail.com,9871398961
F12,Clarence Henry,Professor,aherrera@yahoo.com,9873062473
F13,David Cole,Associate Prof.,kellylindsay@hotmail.com,9870620350
F14,Deborah Reyes,Associate Prof.,mark35@gmail.com,9871865636
F15,Benjamin Taylor,Professor,michaelsosa@stevens.com,9877400248
F16,Devin Santana,Asst. Professor,cvincent@moore.com,9878875994
F17,Timothy Roberts,Associate Prof.,pattonamber@hotmail.com,9879597362
F18,Frank Ross,Professor,dcrosby@torres.info,9874099253
F19,Herbert Vance,Asst. Professor,conwayjeffery@gmail.com,9879136217
F20,Eric Barker,Associate Prof.,frivas@gmail.com,9876322701
F21,Scott Davis,Asst. Professor,kimberlyparsons@daugherty.biz,9871392412
F22,Joseph Bradford,Asst. Professor,arojas@duncan.com,9879401886
F23,Zachary Tyler,Asst. Professor,lisayoung@gmail.com,9877209618
F24,Melanie Rich,Professor,julie34@yahoo.com,9878839734
F25,Barbara Johnson,Asst. Professor,ashley74@rios.com,9874806072
F26,Monica Hernandez,Professor,jessica06@gmail.com,9871998617
F27,Willie Hall,Professor,ashleysean@yahoo.com,9872162185
F28,Patricia Haynes,Associate Prof.,farmerwesley@vasquez.com,9878113363
F29,Daniel King,Asst. Professor,atkinsonmatthew@freeman.info,9875910453
F30,Jonathan Farrell,Asst. Professor,paul79@sawyer.info,9878107111
F31,Edward Pitts,Asst. Professor,heather19@hotmail.com,9870459003
F32,Dr. Wendy Sanchez,Professor,welchjanice@maldonado-jones.info,9878856484
F33,Jillian Roberts,Asst. Professor,lbaker@lynch.net,9873001590
F34,Kim Howard,Asst. Professor,ihaley@hotmail.com,9872743591
F35,Samuel Gilmore,Asst. Professor,vpotts@gmail.com,9878050023
F36,Joseph Kaufman,Associate Prof.,dfrazier@lee.org,9876537999
F37,Bryan Sanders,Professor,rogersdiane@potter.com,9872046388
F38,Alicia Sanders,Professor,ytate@sims.com,9878541289
F39,Vanessa Wiggins,Asst. Professor,juanroberts@preston.biz,9875849088
F40,Kevin Mercado,Professor,xvincent@gmail.com,9877742901
F41,Kenneth Lowe,Professor,joseph52@gmail.com,9879358824
F42,Michele Morrow,Associate Prof.,davismonica@shelton.net,9879130233
F43,Michael Jefferson,Associate Prof.,cynthiacurtis@shannon.info,9870566150
F44,Carlos Castro,Asst. Professor,markmorgan@hotmail.com,9870523162
F45,Adrian Ward,Professor,wreeves@gmail.com,9876948746
F46,Michele Burns,Asst. Professor,ybrowning@yahoo.com,9879371517
F47,Robert Baker,Associate Prof.,teresayoung@yahoo.com,9872405415
F48,Cory Weaver,Associate Prof.,sarahrichard@french.biz,9871880109
F49,Kristen Buchanan,Associate Prof.,williamsangelica@powers.com,9875182630
F50,Edwin Barnes,Professor,shawn44@gmail.com,9878103062
